subjID	participant	shift	activity	ballooncount	explosion	pumps
04D11	04	D1	1	14	1	60
04D11	04	D1	1	15	1	120
04D11	04	D1	1	16	0	120
04D11	04	D1	1	17	1	120
04D11	04	D1	1	18	1	120
04D11	04	D1	1	19	0	120
04D11	04	D1	1	20	1	100
04D11	04	D1	1	21	1	100
04D11	04	D1	1	22	1	100
04D11	04	D1	1	23	1	100
04D11	04	D1	1	24	0	100
04D11	04	D1	1	25	0	100
04D11	04	D1	1	26	0	100
04D11	04	D1	1	27	0	100
04D11	04	D1	1	28	0	100
04D11	04	D1	1	29	0	100
04D11	04	D1	1	30	1	100
04D12	04	D1	2	1	1	120
04D12	04	D1	2	2	1	120
04D12	04	D1	2	3	1	120
04D12	04	D1	2	4	1	120
04D12	04	D1	2	5	1	120
04D12	04	D1	2	6	0	64
04D12	04	D1	2	7	1	64
04D12	04	D1	2	8	0	64
04D12	04	D1	2	9	1	64
04D12	04	D1	2	10	1	64
04D12	04	D1	2	11	1	80
04D12	04	D1	2	12	1	80
04D12	04	D1	2	13	1	80
04D12	04	D1	2	14	0	80
04D12	04	D1	2	15	0	80
04D12	04	D1	2	16	1	80
04D12	04	D1	2	17	0	80
04D12	04	D1	2	18	1	80
04D12	04	D1	2	19	1	80
04D12	04	D1	2	20	1	80
04D12	04	D1	2	21	0	40
04D12	04	D1	2	22	0	40
04D12	04	D1	2	23	0	40
04D12	04	D1	2	24	0	40
04D12	04	D1	2	25	0	40
04D12	04	D1	2	26	0	40
04D12	04	D1	2	27	0	40
04D12	04	D1	2	28	1	40
04D12	04	D1	2	29	1	40
04D12	04	D1	2	30	0	40
04D21	04	D2	1	1	0	60
04D21	04	D2	1	2	1	60
04D21	04	D2	1	3	1	60
04D21	04	D2	1	4	1	60
04D21	04	D2	1	5	0	60
04D21	04	D2	1	6	1	60
04D21	04	D2	1	7	1	60
04D21	04	D2	1	8	0	60
04D21	04	D2	1	9	0	60
04D21	04	D2	1	10	0	61
04D21	04	D2	1	11	0	62
04D21	04	D2	1	12	1	63
04D21	04	D2	1	13	0	64
04D21	04	D2	1	14	1	65
04D21	04	D2	1	15	1	120
04D21	04	D2	1	16	1	120
04D21	04	D2	1	17	1	120
04D21	04	D2	1	18	1	120
04D21	04	D2	1	19	1	120
04D21	04	D2	1	20	1	120
04D21	04	D2	1	21	1	120
04D21	04	D2	1	22	1	120
04D21	04	D2	1	23	1	120
04D21	04	D2	1	24	1	120
04D21	04	D2	1	25	1	110
04D21	04	D2	1	26	1	110
04D21	04	D2	1	27	1	110
04D21	04	D2	1	28	1	110
04D21	04	D2	1	29	1	110
04D21	04	D2	1	30	0	110
04D22	04	D2	2	1	0	64
04D22	04	D2	2	2	0	64
04D22	04	D2	2	3	0	64
04D22	04	D2	2	4	0	64
04D22	04	D2	2	5	1	64
04D22	04	D2	2	6	1	64
04D22	04	D2	2	7	1	64
